"Id";"Requirement Summary";"Description";"Estimated Effort (man hours)";"Actual Effort (man hours)";"Size (Story Points)";"External Sources";"Internal Sources";"Baselines";"Categories";"Priority";"Criticality";"Feasibility";"Technical Risk";"Vote";"Release Id";"Status";"Parent Requirement";"Assignee";"Assignee Full Name";"Reporter";"Number Of Attachments";"Attachments";"Created On";"Updated On";"Custom Id";"Requirement Code";"Türksat Onay";"TŞM";"Danışman Onay";"Kapsam Dışı mı ?";"Fonksiyonel Olmayan Kategori";"Vasıflandırma Yöntemleri";"Test Metotları";"Test Seviyeleri";"Test Tipleri";"External Id";"Depends On";"Dependents";"Test Cases";"Sub-task";"Story";"Bug";"Epic";"Analysis";"Analysis Sub-task";"Use-Case";"Design Task"
"KKTCGBS-R23 {1}";"GÜMRÜK BİLGİ SİSTEMİ YAZILIMI (İŞ PAKETİ 3)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"talipk";"0";"";"21 Nov 2017 03:59 PM";"14 Dec 2017 03:36 PM";"KKTCGBS-R-1";"";"";"Evet";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"KKTCGBS-R2225 {1}";"7.1 Gümrük Bilgi Sistemi ModülleriGümrük Bilgi Sistemi aşağıdaki ana modülleri içerecektir.Özet Beyan ModülüDetaylı Beyan ModülüTahsilat ModülüTarife ModülüRisk Analizleri ModülüAraç, Konteyner ve Yolcu Takip ModülüTasfiye ModülüAntrepo Stok Takip ModülüBilgi Yönetim ve Destek Modülü";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Olmayan Gereksinim";"Minor";"Low";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R23 {1}";"";"";"talipk";"0";"";"19 Feb 2018 11:46 AM";"21 Feb 2018 02:20 PM";"KKTCGBS-R-1.1";"";"";"Evet";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"KKTCGBS-R24 {1}";"7.2 Özet Beyan Modülü Gereksinimleri (Manifesto/Kargo Beyannamesi)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"KKTCGBS-R23 {1}";"";"";"talipk";"0";"";"21 Nov 2017 04:00 PM";"14 Dec 2017 03:36 PM";"KKTCGBS-R-1.2";"";"";"Evet";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"KKTCGBS-R32 {1}";"7.2.1 Özet Beyan Modülü üzerinden ithalat ve ihracat işlemlerinin taşıma bilgileri girilebilecektir.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"KKTCGBS-R24 {1}";"";"";"talipk";"0";"";"21 Nov 2017 04:15 PM";"28 Feb 2018 08:17 PM";"KKTCGBS-R-1.2.1";"";"";"Evet";"";"Hayır";"";"";"";"";"";"";"";"KKTCGBS-R640 {1}, KKTCGBS-R639 {1}, KKTCGBS-R622 {1}, KKTCGBS-R645 {1}, KKTCGBS-R834 {2}, KKTCGBS-R636 {2}, KKTCGBS-R641 {2}, KKTCGBS-R643 {2}, KKTCGBS-R644 {2}, KKTCGBS-R856 {2}, KKTCGBS-R857 {2}, KKTCGBS-R858 {2}, KKTCGBS-R859 {2}, KKTCGBS-R860 {2}, KKTCGBS-R861 {2}, KKTCGBS-R640 {3}, KKTCGBS-R639 {3}, KKTCGBS-R624 {2}, KKTCGBS-R629 {2}, KKTCGBS-R630 {2}, KKTCGBS-R632 {2}, KKTCGBS-R633 {2}, KKTCGBS-R634 {2}, KKTCGBS-R635 {2}, KKTCGBS-R622 {3}, KKTCGBS-R814 {2}, KKTCGBS-R817 {2}, KKTCGBS-R818 {2}, KKTCGBS-R839 {2}, KKTCGBS-R844 {2}, KKTCGBS-R405 {2}, KKTCGBS-R406 {2}, KKTCGBS-R407 {2}, KKTCGBS-R408 {2}, KKTCGBS-R409 {2}, KKTCGBS-R645 {3}, KKTCGBS-R828 {2}, KKTCGBS-R829 {2}, KKTCGBS-R830 {2}, KKTCGBS-R831 {2}, KKTCGBS-R832 {2}, KKTCGBS-R833 {2}, KKTCGBS-R835 {2}, KKTCGBS-R836 {2}, KKTCGBS-R837 {2}, KKTCGBS-R894 {2}, KKTCGBS-R895 {2}, KKTCGBS-R1767 {2}";"";"";"";"";"";"";"";"";""
"KKTCGBS-R3334 {1}";"Yazılım özet beyanların varış öncesi bildirimi olarak acenteler tarafından oluşturulmasına olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Low";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R32 {1}";"";"";"talipk";"0";"";"15 Mar 2018 10:07 PM";"10 May 2018 02:59 PM";"KKTCGBS-R-1.2.1.1";"SRS_OBY_7.2.1_001";"";"Hayır";"";"";"";"Muayene, Analiz";"Kara kutu, Beyaz kutu, Dinamik";"Alfa Testi, Kullanıcı Kabul Testi, Beta Testi, Birim Testi, Bileşen Testi";"Makulluk Testi, Duman Testi, Tahribat Testi, Regresyon Testi, Otomatik Testi";"";"";"";"";"";"";"";"";"";"";"KKTCGBS-1088, KKTCGBS-1090, KKTCGBS-1092, KKTCGBS-1094, KKTCGBS-1096, KKTCGBS-1098, KKTCGBS-1100, KKTCGBS-1108";""
"KKTCGBS-R3335 {1}";"Yazılım varış öncesi bildirimi olarak oluşturulmuş özet beyanların da tescil edilmesine olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Low";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R32 {1}";"";"";"talipk";"0";"";"15 Mar 2018 10:08 PM";"10 May 2018 02:59 PM";"KKTCGBS-R-1.2.1.2";"SRS_OBY_7.2.1_002";"";"Hayır";"";"";"";"Muayene, Analiz";"Kara kutu, Beyaz kutu";"Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi";"Makulluk Testi, Duman Testi, Regresyon Testi, Otomatik Testi";"";"";"";"";"";"";"";"";"";"";"KKTCGBS-1133, KKTCGBS-1134, KKTCGBS-1135";""
"KKTCGBS-R3336 {1}";"Yazılım özet beyan türü olarak varış bildirimi seçilmesine olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Low";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R32 {1}";"";"";"talipk";"0";"";"15 Mar 2018 10:08 PM";"10 May 2018 02:59 PM";"KKTCGBS-R-1.2.1.3";"SRS_OBY_7.2.1_003";"";"Hayır";"";"";"";"Muayene, Analiz";"Kara kutu, Beyaz kutu";"Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi";"Makulluk Testi, Regresyon Testi, Otomatik Testi";"";"";"";"";"";"";"";"";"";"";"KKTCGBS-1395";""
"KKTCGBS-R3337 {1}";"Yazılım özet beyan varış bildirimi yapılırken varış öncesi bildirimi yapılan özet beyanın taşıma senedinde referans verilmesine olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Low";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R32 {1}";"";"";"talipk";"0";"";"15 Mar 2018 10:08 PM";"10 May 2018 03:00 PM";"KKTCGBS-R-1.2.1.4";"SRS_OBY_7.2.1_004";"";"Hayır";"";"";"";"Muayene, Analiz";"Kara kutu, Beyaz kutu, Dinamik";"Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi, Bileşen Testi";"Makulluk Testi, Duman Testi, Regresyon Testi, Otomatik Testi";"";"";"";"";"";"";"";"";"";"";"KKTCGBS-1395";""
"KKTCGBS-R3338 {1}";"Yazılım özet beyan varış bildirimleri güncellenirken yeni taşıma senetleri eklenmesine olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Low";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R32 {1}";"";"";"talipk";"0";"";"15 Mar 2018 10:08 PM";"10 May 2018 03:01 PM";"KKTCGBS-R-1.2.1.5";"SRS_OBY_7.2.1_005";"";"Hayır";"";"";"";"Muayene, Analiz";"Kara kutu, Beyaz kutu, Dinamik";"Alfa Testi, Beta Testi, Kullanıcı Kabul Testi, Birim Testi, Bileşen Testi";"Makulluk Testi, Regresyon Testi, Otomatik Testi";"";"";"";"";"";"";"";"";"";"";"KKTCGBS-1109, KKTCGBS-1397";""
"KKTCGBS-R3339 {1}";"Yazılım özet beyan varış bildirimleri güncellenirken yeni eklenen taşıma senetlerinin toplam kap miktarlarının ilişkilendirildiği özet beyanın içerdiği kap miktarı toplamına eşit olmasının kontrolünün yapılmasına olanak sağlayacaktır.";"";"0.0";"0.0";"0.0";"";"";"";"Fonksiyonel Gereksinim";"Major";"Low";"Yes";"Very High";"0";"";"Open";"KKTCGBS-R32 {1}";"";"";"talipk";"0";"";"15 Mar 2018 10:08 PM";"10 May 2018 03:01 PM";"KKTCGBS-R-1.2.1.6";"SRS_OBY_7.2.1_006";"";"Hayır";"";"";"";"Muayene, Analiz";"Kara kutu, Beyaz kutu, Dinamik";"Alfa Testi, Birim Testi, Bileşen Testi";"Makulluk Testi, Regresyon Testi, Otomatik Testi";"";"";"";"";"";"";"";"";"";"";"KKTCGBS-1397";""
